listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
39237,Entire home,entire_home,64.1514,-21.9524,3.0,2.0,True,46,4.75,4175445.0,34868.2,0.321,117,11378.9,ISK
74270,Entire condo,entire_home,64.1427,-21.9228,3.0,2.0,True,86,4.86,2329620.0,22771.2,0.258,94,6382.5,ISK
122919,Entire rental unit,entire_home,64.1426,-21.9158,4.0,2.0,True,263,4.9,10596762.0,48302.7,0.595,217,29032.2,ISK
129624,Private room in rental unit,private_room,64.0989,-21.8521,,,True,234,4.63,823254.0,15940.5,0.162,59,2255.5,ISK
130050,Entire rental unit,entire_home,64.1511,-21.9514,4.0,2.0,False,49,4.92,5651892.0,40383.9,0.414,151,15066.3,ISK
157686,Entire rental unit,entire_home,64.1253,-21.8519,4.0,2.0,True,225,4.96,3736112.0,23318.0,0.411,150,9600.0,ISK
178790,Entire loft,entire_home,64.14,-21.859,4.0,2.0,True,1,,1201111.0,42327.8,0.071,26,3290.7,ISK
235357,Room in hotel,private_room,64.1408,-21.9351,2.0,1.0,False,125,4.78,917216.0,8004.1,0.252,92,2512.9,ISK
332281,Entire rental unit,entire_home,64.1336,-21.9139,3.0,2.0,False,46,4.59,421580.0,20481.3,0.058,21,1094.4,ISK
391760,Entire rental unit,entire_home,64.148,-21.9602,4.0,2.0,False,33,4.77,1161153.0,29802.0,0.112,41,3181.2,ISK
439688,Entire rental unit,entire_home,64.1428,-21.9256,3.0,1.0,False,153,4.65,4340975.0,30468.9,0.4,146,11614.2,ISK
440080,Private room in rental unit,private_room,64.1463,-21.9356,3.0,1.0,False,67,4.59,1075153.0,38521.8,0.071,26,2945.6,ISK
531314,Entire rental unit,entire_home,64.139,-21.9343,2.0,1.0,False,20,4.5,1124444.0,20625.1,0.151,55,3010.9,ISK
546142,Entire home,entire_home,64.1504,-21.9617,6.0,3.0,False,5,4.2,1428378.0,42376.4,0.096,35,3913.4,ISK
568309,Entire townhouse,entire_home,64.1444,-21.8834,7.0,4.0,False,19,5.0,3186716.0,57155.2,0.145,53,8437.9,ISK
571221,Entire rental unit,entire_home,64.144,-21.959,4.0,1.0,True,180,4.71,5542262.0,27848.3,0.49,179,14567.9,ISK
591042,Private room in rental unit,private_room,64.139,-21.9605,,,True,379,4.96,2886946.0,12046.0,0.663,242,7909.4,ISK
606029,Entire rental unit,entire_home,64.1389,-21.9201,5.0,3.0,False,47,4.81,1858971.0,59930.8,0.09,33,4875.5,ISK
642488,Private room in rental unit,private_room,64.1389,-21.9366,,,False,29,4.76,902152.0,9253.1,0.227,83,2471.6,ISK
652619,Private room in rental unit,private_room,64.1463,-21.9356,4.0,1.0,False,55,4.53,2081357.0,46541.0,0.112,41,5560.1,ISK
656981,Entire rental unit,entire_home,64.1509,-21.9481,2.0,1.0,False,491,4.95,4009221.0,18703.8,0.567,207,10105.7,ISK
669424,Entire home,entire_home,64.1441,-21.9266,6.0,4.0,False,148,4.89,1857439.0,64651.0,0.085,31,4987.8,ISK
684727,Entire rental unit,entire_home,64.1413,-21.8887,5.0,3.0,False,15,4.67,1242584.0,24997.0,0.14,51,3217.5,ISK
725302,Entire rental unit,entire_home,64.1438,-21.9349,2.0,1.0,True,613,4.74,2297313.0,12977.7,0.49,179,6294.0,ISK
757161,Entire rental unit,entire_home,64.1322,-21.9532,4.0,2.0,False,56,4.77,1244625.0,20659.7,0.145,53,3131.7,ISK
779549,Entire condo,entire_home,64.1506,-21.9473,2.0,1.0,False,353,4.7,1307950.0,19574.1,0.192,70,3583.4,ISK
846186,Entire rental unit,entire_home,64.1418,-21.9291,2.0,1.0,True,368,4.87,2944073.0,17279.5,0.422,154,7216.7,ISK
863552,Entire rental unit,entire_home,64.143,-21.9244,4.0,2.0,True,68,4.94,9067024.0,44549.7,0.482,176,21904.3,ISK
867299,Private room in home,private_room,64.1424,-21.8877,,,False,213,4.69,2206518.0,10216.8,0.534,195,5504.9,ISK
885139,Entire rental unit,entire_home,64.1496,-21.9449,2.0,1.0,True,598,4.76,2083053.0,22512.5,0.225,82,5170.1,ISK
947598,Entire rental unit,entire_home,64.1499,-21.9505,3.0,1.0,True,77,4.97,3445028.0,18723.1,0.474,173,9267.6,ISK
1029394,Entire rental unit,entire_home,64.1519,-21.9556,2.0,1.0,True,69,4.91,6888254.0,27518.7,0.619,226,17215.2,ISK
1061246,Entire home,entire_home,64.1488,-21.9433,4.0,1.0,False,30,4.97,1823981.0,75404.6,0.066,24,4997.2,ISK
1073976,Entire rental unit,entire_home,64.1317,-21.9139,4.0,2.0,True,288,4.93,2891907.0,38100.0,0.2,73,7796.1,ISK
1158183,Entire rental unit,entire_home,64.1373,-21.911,4.0,2.0,False,188,4.9,8400146.0,29201.8,0.792,289,23014.1,ISK
1163550,Private room in rental unit,private_room,64.0989,-21.8521,,,True,72,4.51,295981.0,15141.5,0.049,18,774.7,ISK
1217735,Private room in hostel,private_room,64.1445,-21.9182,2.0,1.0,True,595,4.67,4420164.0,11830.0,0.932,340,11048.4,ISK
1251207,Entire rental unit,entire_home,64.1469,-21.8828,5.0,3.0,True,82,4.74,8009150.0,36424.9,0.595,217,21378.1,ISK
1297669,Entire condo,entire_home,64.1403,-21.9601,5.0,4.0,False,15,4.93,4878501.0,46370.2,0.293,107,13212.0,ISK
1332279,Entire rental unit,entire_home,64.1503,-21.9474,2.0,1.0,True,119,4.89,1936738.0,29660.3,0.181,66,5306.1,ISK
1364955,Entire rental unit,entire_home,64.1453,-21.9369,6.0,2.0,True,409,4.9,8446745.0,37161.9,0.545,199,21186.0,ISK
1405852,Entire condo,entire_home,64.1274,-21.8733,2.0,,True,230,4.88,701377.0,16784.8,0.123,45,1897.2,ISK
1427665,Entire rental unit,entire_home,64.1424,-21.9327,4.0,2.0,False,126,4.91,5024181.0,29768.7,0.43,157,12915.0,ISK
1609652,Private room in home,private_room,64.1042,-21.8144,,,False,28,4.75,674166.0,13618.6,0.126,46,1745.9,ISK
1636894,Entire home,entire_home,64.153,-21.8877,6.0,3.0,False,299,4.9,16598344.0,57550.0,0.756,276,44045.5,ISK
1658113,Entire home,entire_home,64.1394,-21.9285,4.0,2.0,False,100,4.66,3675245.0,51310.2,0.192,70,9934.9,ISK
1659181,Entire rental unit,entire_home,64.1422,-21.9315,2.0,1.0,True,42,5.0,4440174.0,19317.0,0.608,222,11659.4,ISK
1705813,Entire home,entire_home,64.1355,-21.8076,5.0,3.0,True,39,4.97,4905485.0,37875.8,0.356,130,13439.7,ISK
1742347,Entire rental unit,entire_home,64.1464,-21.9356,6.0,2.0,False,15,4.27,1877413.0,49152.8,0.096,35,4825.3,ISK
1750113,Entire rental unit,entire_home,64.1456,-21.9337,7.0,3.0,False,78,4.67,3254910.0,76056.1,0.112,41,8574.5,ISK
1797351,Entire home,entire_home,64.1473,-21.9341,13.0,5.0,False,62,4.64,1865867.0,128215.2,0.036,13,4862.3,ISK
1912436,Entire rental unit,entire_home,64.1518,-21.9517,2.0,1.0,True,145,4.9,2072635.0,18302.8,0.293,107,5406.5,ISK
1918231,Entire rental unit,entire_home,64.1476,-21.9382,8.0,4.0,False,230,4.93,18796576.0,92043.7,0.468,171,43684.6,ISK
2174111,Entire rental unit,entire_home,64.1463,-21.9273,4.0,2.0,True,475,4.91,8646902.0,43141.6,0.477,174,20927.9,ISK
2298177,Entire rental unit,entire_home,64.1445,-21.9312,6.0,3.0,False,118,4.9,4171377.0,66518.9,0.173,63,11246.4,ISK
2411905,Entire rental unit,entire_home,64.1479,-21.9485,4.0,2.0,True,771,4.85,8479092.0,24303.2,0.871,318,21140.8,ISK
2472386,Entire condo,entire_home,64.1338,-21.8624,5.0,3.0,False,11,4.91,797726.0,27237.2,0.074,27,1961.0,ISK
2539356,Entire guest suite,entire_home,64.1369,-21.9616,3.0,1.0,False,106,4.92,1990305.0,18223.0,0.332,121,5452.9,ISK
2580540,Entire rental unit,entire_home,64.1472,-21.9477,3.0,,True,686,4.83,6284888.0,20378.4,0.775,283,15783.3,ISK
2583567,Entire rental unit,entire_home,64.1419,-21.9343,4.0,2.0,False,34,4.85,1645591.0,55730.4,0.079,29,4349.5,ISK
2682367,Entire guesthouse,entire_home,64.1297,-21.9565,4.0,2.0,False,2,,588527.0,52955.9,0.033,12,1611.7,ISK
2755263,Private room in hostel,private_room,64.1446,-21.9179,2.0,1.0,True,469,4.59,4421103.0,12652.9,0.877,320,11173.0,ISK
2755488,Private room in hostel,private_room,64.1446,-21.9179,2.0,1.0,True,501,4.71,4443937.0,12210.2,0.901,329,11040.3,ISK
2755880,Private room in hostel,private_room,64.1446,-21.9179,2.0,1.0,True,557,4.78,4328713.0,11983.5,0.899,328,10785.6,ISK
2755929,Private room in hostel,private_room,64.1444,-21.9169,2.0,1.0,True,542,4.71,4441594.0,11863.9,0.921,336,10997.3,ISK
2755949,Private room in hostel,private_room,64.1435,-21.9183,2.0,1.0,True,541,4.71,4504815.0,12198.7,0.915,334,11170.5,ISK
2763705,Entire rental unit,entire_home,64.1452,-21.9253,6.0,3.0,True,120,4.93,18120135.0,81795.5,0.605,221,49644.2,ISK
2872385,Entire rental unit,entire_home,64.1424,-21.9106,2.0,,True,133,4.86,1993231.0,23312.8,0.236,86,5460.9,ISK
2877141,Entire rental unit,entire_home,64.1441,-21.9241,5.0,1.0,False,379,4.76,8033908.0,30092.1,0.614,224,19055.7,ISK
2942888,Entire rental unit,entire_home,64.1427,-21.9087,4.0,1.0,False,107,4.88,1681986.0,29833.6,0.14,51,4442.2,ISK
2949686,Entire rental unit,entire_home,64.1411,-21.9464,2.0,1.0,True,121,4.97,2685194.0,21774.6,0.268,98,7356.7,ISK
2978280,Entire rental unit,entire_home,64.1495,-21.9431,2.0,1.0,True,556,4.84,4550418.0,19953.7,0.619,226,12466.9,ISK
3145071,Entire condo,entire_home,64.146,-21.9325,3.0,2.0,False,119,4.76,1614287.0,23387.4,0.184,67,4254.0,ISK
3322238,Entire rental unit,entire_home,64.1404,-21.9251,3.0,1.0,True,297,4.78,1478382.0,27285.0,0.142,52,3877.8,ISK
3375931,Entire rental unit,entire_home,64.1462,-21.9487,2.0,1.0,True,316,4.97,6735132.0,25563.7,0.671,245,17978.3,ISK
3377766,Private room in home,private_room,64.1004,-21.8518,,,True,132,4.77,1171450.0,14628.1,0.205,75,3156.1,ISK
3377842,Private room in home,private_room,64.1027,-21.8507,,,True,51,4.67,1362839.0,17013.3,0.184,67,3686.4,ISK
3407815,Entire home,entire_home,64.1439,-21.9235,6.0,3.0,False,30,4.9,3097757.0,50557.7,0.167,61,7962.0,ISK
3489944,Entire rental unit,entire_home,64.1459,-21.9309,2.0,1.0,True,72,4.97,2188178.0,22678.0,0.238,87,5925.3,ISK
3654956,Entire home,entire_home,64.1382,-21.7962,5.0,3.0,False,3,4.67,1563300.0,27403.5,0.162,59,3914.9,ISK
3798929,Entire rental unit,entire_home,64.148,-21.9558,2.0,1.0,True,84,4.93,4042514.0,18398.1,0.567,207,9986.3,ISK
3983337,Entire rental unit,entire_home,64.1374,-21.9189,7.0,3.0,True,685,4.92,9217902.0,29092.6,0.805,294,23491.9,ISK
4020861,Entire rental unit,entire_home,64.1445,-21.922,6.0,1.0,True,48,4.77,2849465.0,59513.1,0.123,45,7747.5,ISK
4119848,Entire rental unit,entire_home,64.1476,-21.9548,5.0,2.0,False,63,4.81,2347290.0,19928.2,0.315,115,6430.9,ISK
4127642,Entire rental unit,entire_home,64.1492,-21.9564,4.0,2.0,False,111,4.85,262261.0,23644.9,0.036,13,718.5,ISK
4284019,Private room in rental unit,private_room,64.15,-21.9659,,,False,157,4.94,965311.0,12749.4,0.205,75,2644.7,ISK
4301706,Entire rental unit,entire_home,64.146,-21.9244,2.0,,True,104,4.86,1191389.0,35354.5,0.079,29,3157.4,ISK
4514327,Entire rental unit,entire_home,64.1491,-21.9457,4.0,2.0,True,106,4.91,11787698.0,36959.7,0.871,318,32295.1,ISK
4656000,Entire rental unit,entire_home,64.1441,-21.9254,4.0,2.0,True,417,4.94,9643230.0,42646.6,0.534,195,23350.6,ISK
4745810,Entire rental unit,entire_home,64.1482,-21.9448,2.0,1.0,True,276,4.78,1654513.0,20841.6,0.186,68,4106.2,ISK
4935952,Entire rental unit,entire_home,64.1451,-21.9375,4.0,3.0,True,221,4.93,6533066.0,47668.2,0.364,133,16376.0,ISK
4948020,Entire rental unit,entire_home,64.1427,-21.9223,4.0,1.0,False,14,4.93,2239327.0,30883.6,0.184,67,5518.8,ISK
5018745,Entire rental unit,entire_home,64.1435,-21.9354,2.0,1.0,True,21,4.95,1433209.0,28032.9,0.14,51,3837.7,ISK
5229923,Entire rental unit,entire_home,64.0995,-21.7784,4.0,2.0,False,19,4.84,618052.0,42593.9,0.038,14,1693.3,ISK
5342954,Entire rental unit,entire_home,64.1405,-21.917,2.0,1.0,True,502,4.75,2742896.0,18104.4,0.403,147,7504.3,ISK
5343346,Entire rental unit,entire_home,64.1429,-21.9348,2.0,1.0,True,421,4.7,2228130.0,13002.7,0.463,169,6104.5,ISK
5469622,Entire rental unit,entire_home,64.1496,-21.9447,2.0,1.0,True,436,4.75,908024.0,18354.9,0.121,44,2206.8,ISK
