year,bucket,mean_income_kisk
1990,16–29,768.0
1990,30–44,1404.6666666666667
1990,45–59,1376.0
1990,60+,1065.3333333333333
1991,16–29,822.6666666666666
1991,30–44,1531.6666666666667
1991,45–59,1518.3333333333333
1991,60+,1190.0
1992,16–29,807.3333333333334
1992,30–44,1547.0
1992,45–59,1550.3333333333333
1992,60+,1194.3333333333333
1993,16–29,788.6666666666666
1993,30–44,1536.0
1993,45–59,1556.6666666666667
1993,60+,1211.0
1994,16–29,810.6666666666666
1994,30–44,1588.6666666666667
1994,45–59,1607.3333333333333
1994,60+,1215.6666666666667
1995,16–29,854.3333333333334
1995,30–44,1665.0
1995,45–59,1698.6666666666667
1995,60+,1270.3333333333333
1996,16–29,926.0
1996,30–44,1797.3333333333333
1996,45–59,1840.6666666666667
1996,60+,1372.0
1997,16–29,1005.3333333333334
1997,30–44,1949.0
1997,45–59,2020.6666666666667
1997,60+,1491.3333333333333
1998,16–29,1132.6666666666667
1998,30–44,2206.0
1998,45–59,2259.0
1998,60+,1648.0
1999,16–29,1248.3333333333333
1999,30–44,2444.6666666666665
1999,45–59,2534.3333333333335
1999,60+,1855.0
2000,16–29,1386.6666666666667
2000,30–44,2663.0
2000,45–59,2792.0
2000,60+,2023.3333333333333
2001,16–29,1473.3333333333333
2001,30–44,2941.6666666666665
2001,45–59,3150.3333333333335
2001,60+,2337.3333333333335
2002,16–29,1495.3333333333333
2002,30–44,3141.0
2002,45–59,3366.6666666666665
2002,60+,2451.0
2003,16–29,1512.0
2003,30–44,3284.0
2003,45–59,3630.0
2003,60+,2873.0
2004,16–29,1596.6666666666667
2004,30–44,3595.3333333333335
2004,45–59,3876.6666666666665
2004,60+,3035.6666666666665
2005,16–29,1746.6666666666667
2005,30–44,4081.3333333333335
2005,45–59,4571.0
2005,60+,3514.6666666666665
2006,16–29,1921.3333333333333
2006,30–44,4653.666666666667
2006,45–59,5107.0
2006,60+,4078.6666666666665
2007,16–29,2147.0
2007,30–44,5495.333333333333
2007,45–59,6094.0
2007,60+,5125.333333333333
2008,16–29,2261.6666666666665
2008,30–44,5396.0
2008,45–59,5888.666666666667
2008,60+,5029.666666666667
2009,16–29,2118.3333333333335
2009,30–44,5217.666666666667
2009,45–59,5690.666666666667
2009,60+,4896.666666666667
2010,16–29,2057.0
2010,30–44,4968.333333333333
2010,45–59,5275.333333333333
2010,60+,4145.333333333333
2011,16–29,2228.6666666666665
2011,30–44,5385.0
2011,45–59,5716.666666666667
2011,60+,4370.333333333333
2012,16–29,2331.0
2012,30–44,5569.666666666667
2012,45–59,5952.333333333333
2012,60+,4727.0
2013,16–29,2446.0
2013,30–44,5814.666666666667
2013,45–59,6282.333333333333
2013,60+,5121.0
2014,16–29,2560.0
2014,30–44,6132.333333333333
2014,45–59,6742.0
2014,60+,5522.666666666667
2015,16–29,2777.0
2015,30–44,6482.666666666667
2015,45–59,7257.0
2015,60+,5827.333333333333
2016,16–29,3076.6666666666665
2016,30–44,6951.0
2016,45–59,7876.666666666667
2016,60+,6563.666666666667
2017,16–29,3316.0
2017,30–44,7287.666666666667
2017,45–59,8519.666666666666
2017,60+,7151.0
2018,16–29,3490.0
2018,30–44,7596.333333333333
2018,45–59,8638.666666666666
2018,60+,7383.666666666667
2019,16–29,3595.0
2019,30–44,7818.666666666667
2019,45–59,8970.333333333334
2019,60+,7713.0
2020,16–29,3667.0
2020,30–44,8112.333333333333
2020,45–59,9283.333333333334
2020,60+,7918.333333333333
2021,16–29,3962.3333333333335
2021,30–44,8479.0
2021,45–59,10243.666666666666
2021,60+,8678.333333333334
2022,16–29,4508.333333333333
2022,30–44,9168.666666666666
2022,45–59,11124.333333333334
2022,60+,9487.666666666666
2023,16–29,5025.666666666667
2023,30–44,10043.333333333334
2023,45–59,12163.666666666666
2023,60+,10493.0
2024,16–29,5355.666666666667
2024,30–44,10614.333333333334
2024,45–59,12853.333333333334
2024,60+,11330.0
