year,mean_income_kisk_total,population,owner_occupier_pct,n_poor_housing,residential_price_index,cpi,avg_loan_payment_per_10m_isk,dwellings_begun,pop_growth_rate,dwelling_growth_rate,income_idx,price_idx,real_price_index,monthly_income_isk,loan_burden_pct_income,poor_housing_pct,gap,cumulative_gap
1970,,,,,,,,1469.0,,,,,,,,,,
1971,,,,,,,,1833.0,,,,,,,,,,
1972,,,,,,,,1963.0,,,,,,,,,,
1973,,,,,,,,3377.0,,,,,,,,,,
1974,,,,,,,,2640.0,,,,,,,,,,
1975,,,,,,,,2261.0,,,,,,,,,,
1976,,,,,,,,2268.0,,,,,,,,,,
1977,,,,,,,,1980.0,,,,,,,,,,
1978,,,,,,,,2278.0,,,,,,,,,,
1979,,,,,,,,1932.0,,,,,,,,,,
1980,,,,,,,,1758.0,,,,,,,,,,
1981,,,,,,,,1648.0,,,,,,,,,,
1982,,,,,,,,1829.0,,,,,,,,,,
1983,,,,,,,,1631.0,,,,,,,,,,
1984,,,,,,,,1746.0,,,,,,,,,,
1985,,,,,,,,1397.0,,,,,,,,,,
1986,,,,,,,,1068.0,,,,,,,,,,
1987,,,,,,,,1426.0,,,,,,,,,,
1988,,,,,,104.6,,1611.0,,,,,,,,,,
1989,,,,,,126.7,,1853.0,,,,,,,,,,
1990,1116.0,,,,,145.5,,1929.0,,,51.499769266266725,,,93000.0,,,,
1991,1223.0,,,,,155.4,,1470.0,,,56.43747115828334,,,101916.66666666667,,,,
1992,1235.0,,,,,161.2,,1495.0,,,56.99123211813567,,,102916.66666666667,,,,
1993,1236.0,,,,,167.8,,1376.0,,,57.037378864790035,,,103000.0,,,,
1994,1271.0,,,,,170.3,,1350.0,,,58.65251499769266,,,105916.66666666667,,,,
1995,1339.0,,,,,173.2,,1234.0,,,61.7904937701892,,,111583.33333333333,,,,
1996,1449.0,,,,,177.1,,1279.0,,,66.8666359021689,,,120750.0,,,,
1997,1579.0,,,,,180.3,,1165.0,,,72.86571296723581,,,131583.33333333334,,,,
1998,1767.0,,,,,183.3,,1016.0,,,81.54130133825565,,,147250.0,,,,
1999,1969.0,,,,,189.6,,1266.0,,,90.86294416243655,,,164083.33333333334,,,,
2000,2167.0,,,,104.71,199.1,,1643.0,,,100.0,100.0,104.71,180583.33333333334,,,,
2001,2414.0,,,,110.55,212.4,,1811.0,,,111.39824642362714,105.57730875752078,103.62761299435027,201166.66666666666,,,,
2002,2565.0,,,,115.875,222.6,,2360.0,,,118.36640516843562,110.66278292426703,103.64201482479785,213750.0,,,,
2003,2753.0,,,,129.40833333333333,227.3,,2688.0,,,127.04199353945546,123.58736828701493,113.35327394046045,229416.66666666666,,,,
2004,2957.0,,85.3,56748.0,143.01666666666668,234.6,47932.200147682415,2751.0,,,136.4559298569451,136.5835800464776,121.3751847115658,246416.66666666666,19.451687581068278,,,
2005,3390.0,,86.9,54050.0,183.76666666666665,244.1,47718.8592634417,4393.0,,,156.43747115828336,175.50058892815076,149.88915744913285,282500.0,16.891631597678476,,,
2006,3841.0,,86.2,36988.0,214.67499999999998,260.6,50799.03041799099,3746.0,0.028540104372231756,0.025331609858507242,177.24965389940007,205.01862286314582,164.01301803530313,320083.3333333333,15.870564046235144,,0.0032084945137245136,0.0032084945137245136
2007,4590.0,,86.3,32751.0,234.82500000000002,273.7,55832.990383589415,4446.0,0.03268979866801969,0.04228748381856495,211.8135671435164,224.26224811383824,170.82081658750457,382500.0,14.596860231003769,,-0.009597685150545265,-0.006389190636820752
2008,4529.0,,85.8,60469.0,249.4416666666667,307.7,59776.14464941009,3172.0,0.030036539295225095,0.023297534682479748,208.99861559760038,238.22143698468793,161.40343137254905,377416.6666666667,15.838236603950564,,0.006739004612745347,0.0003498139759245955
2009,4346.0,,84.2,53341.0,225.23333333333335,344.6,56555.70168998136,192.0,0.013243546576879872,0.006370033079748261,200.5537609598523,215.1020278228759,130.13336235248596,362166.6666666667,15.615932358025225,,0.006873513497131611,0.007223327473056207
